userid,dbid,toplevel,queryid,query,plans,total_plan_time,min_plan_time,max_plan_time,mean_plan_time,stddev_plan_time,calls,total_exec_time,min_exec_time,max_exec_time,mean_exec_time,stddev_exec_time,rows,shared_blks_hit,shared_blks_read,shared_blks_dirtied,shared_blks_written,local_blks_hit,local_blks_read,local_blks_dirtied,local_blks_written,temp_blks_read,temp_blks_written,shared_blk_read_time,shared_blk_write_time,local_blk_read_time,local_blk_write_time,temp_blk_read_time,temp_blk_write_time,wal_records,wal_fpi,wal_bytes,jit_functions,jit_generation_time,jit_inlining_count,jit_inlining_time,jit_optimization_count,jit_optimization_time,jit_emission_count,jit_emission_time,jit_deform_count,jit_deform_time,stats_since,minmax_stats_since
69124060,69124029,t,,<insufficient privilege>,0,0,0,0,0,0,381,8.253252000000002,0.0034089999999999997,1.570835,0.021662078740157485,0.12742699983364086,381,378,3,0,0,0,0,0,0,0,0,4.269057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-14 17:04:22.50454+00,2026-03-14 17:04:22.50454+00
48762946,48759014,t,,<insufficient privilege>,0,0,0,0,0,0,23412,132.0432979999996,0.001028,9.580273,0.005639983683581052,0.07862120966046496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-13 10:33:39.30935+00,2026-02-13 10:33:39.30935+00
71512638,71510822,t,,<insufficient privilege>,0,0,0,0,0,0,38,10.538651999999994,0.011099,8.693454999999998,0.2773329473684209,1.3962804214078908,38,75,1,0,0,0,0,0,0,0,0,8.651342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-16 07:49:08.48672+00,2026-03-16 07:49:08.48672+00
10,16384,t,,<insufficient privilege>,0,0,0,0,0,0,96,0.994366,0.007362,0.035715,0.010357979166666666,0.00351842023315379,4800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-16 02:37:17.258833+00,2026-03-16 02:37:17.258833+00
71512638,71510822,t,,<insufficient privilege>,0,0,0,0,0,0,4965,173.89006500000002,0.006324,17.501804,0.03502317522658611,0.37461577998697554,4965,32829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-02 17:37:23.453336+00,2026-03-02 17:37:23.453336+00
10,16384,t,,<insufficient privilege>,0,0,0,0,0,0,95,0.9976720000000002,0.005539,0.029985,0.010501810526315792,0.0034934512909148233,4750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-16 08:05:17.295398+00,2026-03-16 08:05:17.295398+00
26739460,26739437,t,,<insufficient privilege>,0,0,0,0,0,0,69,1.4080210000000004,0.010562,0.20469800000000002,0.02040610144927537,0.023128825862380405,69,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-16 08:03:30.653017+00,2026-03-16 08:03:30.653017+00
45251701,45247207,t,,<insufficient privilege>,0,0,0,0,0,0,1528,97.18337700000002,0.019528999999999998,6.863217,0.06360168651832462,0.2841140793568738,1528,11055,11,0,0,0,0,0,0,0,0,18.55887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-13 12:20:35.7285+00,2026-03-13 12:20:35.7285+00
41763993,41760479,t,,<insufficient privilege>,0,0,0,0,0,0,331,30.72964700000003,0.044248,4.2339709999999995,0.09283881268882184,0.2523509515462009,2006,3050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-13 21:34:12.289564+00,2026-03-13 21:34:12.289564+00
13959677,13959655,t,,<insufficient privilege>,0,0,0,0,0,0,4538,904.4250469999989,0.081297,11.746868,0.19930036293521353,0.4816574248133886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-25 12:00:20.527548+00,2026-02-25 12:00:20.527548+00
56058788,56058749,t,,<insufficient privilege>,0,0,0,0,0,0,986,591.1550720000012,0.007205,82.45325100000001,0.5995487545638957,3.169693977533944,986,6725,183,0,0,0,0,0,0,0,0,437.39452600000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-08 06:56:39.143274+00,2026-03-08 06:56:39.143274+00
72029769,72029744,t,,<insufficient privilege>,0,0,0,0,0,0,197,92.01325499999996,0.300191,17.767062,0.4670723604060912,1.2520945361948597,2167,5713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-14 00:00:02.812938+00,2026-03-14 00:00:02.812938+00
10,16384,t,,<insufficient privilege>,0,0,0,0,0,0,97,2.0031440000000003,0.008196,0.592533,0.020650969072164953,0.058736013039904104,4850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-16 05:45:17.196673+00,2026-03-16 05:45:17.196673+00
69124060,69124029,t,,<insufficient privilege>,0,0,0,0,0,0,15046,6004.259219999984,0.179647,152.582604,0.39906016349860324,2.310589001193238,599486,148784,150,0,0,0,0,0,0,0,0,298.3770409999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-28 05:05:16.103501+00,2026-02-28 05:05:16.103501+00
